fdc_id;name_de;name_en;brand;ingredients_en;kcal;protein;carbs;sugar;fat;satfat;fiber;salt;micronutrients_json
169134;Granatapfel;Pomegranates, raw;;;83;1.67;18.7;13.67;1.17;0.12;4;0.008;"{""calcium"":10.0,""eisen"":0.3,""kalium"":236.0,""kupfer"":0.158,""magnesium"":12.0,""mangan"":0.119,""natrium"":3.0,""phosphor"":36.0,""selen"":0.5,""vitamin_a"":0.0,""vitamin_b1"":0.067,""vitamin_b12"":0.0,""vitamin_b2"":0.053,""vitamin_b3"":0.293,""vitamin_b5"":0.377,""vitamin_b6"":0.075,""vitamin_b9"":38.0,""vitamin_c"":10.2,""vitamin_d"":0.0,""vitamin_e"":0.6,""vitamin_k"":16.4,""zink"":0.35}"
173021;Feige frisch;Figs, raw;;;74;0.75;19.18;16.26;0.3;0.06;2.9;0.003;"{""calcium"":35.0,""eisen"":0.37,""kalium"":232.0,""kupfer"":0.07,""magnesium"":17.0,""mangan"":0.128,""natrium"":1.0,""phosphor"":14.0,""selen"":0.2,""vitamin_a"":7.0,""vitamin_b1"":0.06,""vitamin_b12"":0.0,""vitamin_b2"":0.05,""vitamin_b3"":0.4,""vitamin_b5"":0.3,""vitamin_b6"":0.113,""vitamin_b9"":6.0,""vitamin_c"":2.0,""vitamin_d"":0.0,""vitamin_e"":0.11,""vitamin_k"":4.7,""zink"":0.15}"
168191;Dattel;Dates, medjool;;;277;1.81;74.97;66.47;0.15;0;6.7;0.003;"{""calcium"":64.0,""eisen"":0.9,""kalium"":696.0,""kupfer"":0.362,""magnesium"":54.0,""mangan"":0.296,""natrium"":1.0,""phosphor"":62.0,""vitamin_a"":7.0,""vitamin_b1"":0.05,""vitamin_b2"":0.06,""vitamin_b3"":1.61,""vitamin_b5"":0.805,""vitamin_b6"":0.249,""vitamin_b9"":15.0,""vitamin_c"":0.0,""vitamin_d"":0.0,""vitamin_k"":2.7,""zink"":0.44}"
171706;Avocado;Avocados, raw, California;;;167;1.96;8.64;0.3;15.41;2.126;6.8;0.02;"{""calcium"":13.0,""eisen"":0.61,""kalium"":507.0,""kupfer"":0.17,""magnesium"":29.0,""mangan"":0.149,""natrium"":8.0,""phosphor"":54.0,""selen"":0.4,""vitamin_a"":7.0,""vitamin_b1"":0.075,""vitamin_b12"":0.0,""vitamin_b2"":0.143,""vitamin_b3"":1.912,""vitamin_b5"":1.463,""vitamin_b6"":0.287,""vitamin_b9"":89.0,""vitamin_c"":8.8,""vitamin_d"":0.0,""vitamin_e"":1.97,""vitamin_k"":21.0,""zink"":0.68}"
169941;Kaki;Persimmons, japanese, raw;;;70;0.58;18.59;12.53;0.19;0.02;3.6;0.003;"{""calcium"":8.0,""eisen"":0.15,""kalium"":161.0,""kupfer"":0.113,""magnesium"":9.0,""mangan"":0.355,""natrium"":1.0,""phosphor"":17.0,""selen"":0.6,""vitamin_a"":81.0,""vitamin_b1"":0.03,""vitamin_b12"":0.0,""vitamin_b2"":0.02,""vitamin_b3"":0.1,""vitamin_b6"":0.1,""vitamin_b9"":8.0,""vitamin_c"":7.5,""vitamin_d"":0.0,""vitamin_e"":0.73,""vitamin_k"":2.6,""zink"":0.11}"
169087;Litschi;Litchis, dried;;;277;3.8;70.7;66.1;1.2;0.27;4.6;0.008;"{""calcium"":33.0,""eisen"":1.7,""kalium"":1110.0,""kupfer"":0.631,""magnesium"":42.0,""mangan"":0.234,""natrium"":3.0,""phosphor"":181.0,""selen"":1.3,""vitamin_a"":0.0,""vitamin_b1"":0.01,""vitamin_b12"":0.0,""vitamin_b2"":0.57,""vitamin_b3"":3.1,""vitamin_b6"":0.09,""vitamin_b9"":12.0,""vitamin_c"":183.0,""vitamin_d"":0.0,""vitamin_e"":0.31,""vitamin_k"":1.6,""zink"":0.28}"
173030;Stachelbeere;Gooseberries, raw;;;44;0.88;10.18;0;0.58;0.038;4.3;0.003;"{""calcium"":25.0,""eisen"":0.31,""kalium"":198.0,""kupfer"":0.07,""magnesium"":10.0,""mangan"":0.144,""natrium"":1.0,""phosphor"":27.0,""selen"":0.6,""vitamin_a"":15.0,""vitamin_b1"":0.04,""vitamin_b12"":0.0,""vitamin_b2"":0.03,""vitamin_b3"":0.3,""vitamin_b5"":0.286,""vitamin_b6"":0.08,""vitamin_b9"":6.0,""vitamin_c"":27.7,""vitamin_e"":0.37,""zink"":0.12}"
171727;Holunderbeere;Elderberries, raw;;;73;0.66;18.4;0;0.5;0.023;7;0.015;"{""calcium"":38.0,""eisen"":1.6,""kalium"":280.0,""kupfer"":0.061,""magnesium"":5.0,""natrium"":6.0,""phosphor"":39.0,""selen"":0.6,""vitamin_a"":30.0,""vitamin_b1"":0.07,""vitamin_b12"":0.0,""vitamin_b2"":0.06,""vitamin_b3"":0.5,""vitamin_b5"":0.14,""vitamin_b6"":0.23,""vitamin_b9"":6.0,""vitamin_c"":36.0,""zink"":0.11}"
167640;Heidelbeere;Blueberries, wild, raw (Alaska Native);;;61;1.22;12.31;6.46;0.76;0;2.6;0.015;"{""calcium"":13.0,""eisen"":0.37,""kalium"":75.0,""kupfer"":0.03,""magnesium"":7.0,""mangan"":2.0,""natrium"":6.0,""phosphor"":29.0,""vitamin_a"":6.0,""vitamin_b1"":0.067,""vitamin_b12"":0.0,""vitamin_b2"":0.414,""vitamin_b3"":0.597,""vitamin_b5"":0.265,""vitamin_b6"":0.026,""vitamin_b9"":33.0,""vitamin_c"":18.3,""vitamin_d"":0.0,""vitamin_e"":1.69,""vitamin_k"":17.2,""zink"":0.2}"
171722;Preiselbeere;Cranberries, raw;;;46;0.46;11.97;4.27;0.13;0.008;3.6;0.005;"{""calcium"":8.0,""eisen"":0.23,""kalium"":80.0,""kupfer"":0.056,""magnesium"":6.0,""mangan"":0.267,""natrium"":2.0,""phosphor"":11.0,""selen"":0.1,""vitamin_a"":3.0,""vitamin_b1"":0.012,""vitamin_b12"":0.0,""vitamin_b2"":0.02,""vitamin_b3"":0.101,""vitamin_b5"":0.295,""vitamin_b6"":0.057,""vitamin_b9"":1.0,""vitamin_c"":14.0,""vitamin_d"":0.0,""vitamin_e"":1.32,""vitamin_k"":5.0,""zink"":0.09}"
